domain,value_head,stage,epoch,mean,min,max,n
rover,off,stage1,155,20.0,20.0,20.0,2
rover,off,stage1,160,20.0,20.0,20.0,2
rover,off,stage1,165,20.0,20.0,20.0,2
rover,off,stage1,170,20.0,20.0,20.0,2
rover,off,stage1,175,20.0,20.0,20.0,1
rover,off,stage1,180,20.0,20.0,20.0,1
rover,off,stage1,185,20.0,20.0,20.0,1
rover,off,stage1,190,20.0,20.0,20.0,1
rover,off,stage1,195,20.0,20.0,20.0,1
rover,off,stage1,200,20.0,20.0,20.0,1
rover,off,stage1,205,20.0,20.0,20.0,1
rover,off,stage1,210,20.0,20.0,20.0,1
rover,off,stage1,215,20.0,20.0,20.0,1
rover,off,stage1,220,20.0,20.0,20.0,1
rover,off,stage1,225,20.0,20.0,20.0,1
rover,off,stage1,230,20.0,20.0,20.0,1
rover,off,stage1,235,20.0,20.0,20.0,1
rover,off,stage1,240,20.0,20.0,20.0,1
rover,off,stage1,245,20.0,20.0,20.0,1
rover,off,stage1,250,20.0,20.0,20.0,1
rover,off,stage1,255,20.0,20.0,20.0,1
rover,off,stage1,260,20.0,20.0,20.0,1
rover,off,stage1,265,20.0,20.0,20.0,1
rover,off,stage1,270,20.0,20.0,20.0,1
rover,off,stage1,275,20.0,20.0,20.0,1
rover,off,stage1,280,20.0,20.0,20.0,1
rover,off,stage1,285,20.0,20.0,20.0,1
rover,off,stage2,0,19.772727272727273,15.0,20.0,22
rover,off,stage2,5,20.0,20.0,20.0,22
rover,off,stage2,10,19.772727272727273,15.0,20.0,22
rover,off,stage2,15,19.545454545454547,15.0,20.0,22
rover,off,stage2,20,20.0,20.0,20.0,22
rover,off,stage2,25,19.772727272727273,15.0,20.0,22
rover,off,stage2,30,20.0,20.0,20.0,22
rover,off,stage2,35,20.0,20.0,20.0,22
rover,off,stage2,40,20.0,20.0,20.0,22
rover,off,stage2,45,20.0,20.0,20.0,22
rover,off,stage2,50,20.0,20.0,20.0,22
rover,off,stage2,55,19.772727272727273,15.0,20.0,22
rover,off,stage2,60,20.0,20.0,20.0,22
rover,off,stage2,65,20.0,20.0,20.0,22
rover,off,stage2,70,19.545454545454547,15.0,20.0,22
rover,off,stage2,75,19.772727272727273,15.0,20.0,22
rover,off,stage2,80,20.0,20.0,20.0,22
rover,off,stage2,85,20.0,20.0,20.0,22
rover,off,stage2,90,20.0,20.0,20.0,22
rover,off,stage2,95,20.0,20.0,20.0,22
rover,off,stage2,99,20.0,20.0,20.0,22
rover,on,stage1,4,10.0,10.0,10.0,1
rover,on,stage1,5,9.5,0.0,15.0,10
rover,on,stage1,10,19.0,15.0,20.0,10
rover,on,stage1,15,17.5,15.0,20.0,10
rover,on,stage1,17,20.0,20.0,20.0,1
rover,on,stage1,20,19.5,15.0,20.0,10
rover,on,stage1,25,19.0,15.0,20.0,10
rover,on,stage1,30,18.0,10.0,20.0,10
rover,on,stage1,35,19.0,15.0,20.0,10
rover,on,stage1,40,20.0,20.0,20.0,10
rover,on,stage1,45,20.0,20.0,20.0,10
rover,on,stage1,50,20.0,20.0,20.0,10
rover,on,stage1,55,19.444444444444443,15.0,20.0,9
rover,on,stage1,60,19.444444444444443,15.0,20.0,9
rover,on,stage1,65,20.0,20.0,20.0,9
rover,on,stage1,70,20.0,20.0,20.0,8
rover,on,stage1,71,20.0,20.0,20.0,1
rover,on,stage1,75,19.375,15.0,20.0,8
rover,on,stage1,77,20.0,20.0,20.0,1
rover,on,stage1,80,20.0,20.0,20.0,8
rover,on,stage1,85,18.125,10.0,20.0,8
rover,on,stage1,90,19.375,15.0,20.0,8
rover,on,stage1,95,20.0,15.0,25.0,8
rover,on,stage1,100,20.625,20.0,25.0,8
rover,on,stage1,105,20.625,20.0,25.0,8
rover,on,stage1,110,20.0,20.0,20.0,8
rover,on,stage1,112,20.0,20.0,20.0,1
rover,on,stage1,115,20.625,20.0,25.0,8
rover,on,stage1,120,20.0,20.0,20.0,8
rover,on,stage1,125,20.0,20.0,20.0,6
