job_id,experiment_id,stage,value_head,seed,arm,source_log,source_ledgers
20684751,,,off,534933607,safe_pw_kmin3,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt,mcts_progressive_widening_sensitivity/results.csv
20684752,,,on,1073581256,safe_pw_kmin3,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684752_pw-safe-drone-on-1073581256-safe_pw_kmin3_ext.txt,mcts_progressive_widening_sensitivity/results.csv
20684753,,,on,1239739722,safe_pw_kmin3,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684753_pw-safe-drone-on-1239739722-safe_pw_kmin3_ext.txt,mcts_progressive_widening_sensitivity/results.csv
20684754,,,on,1472491096,safe_pw_kmin3,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684754_pw-safe-drone-on-1472491096-safe_pw_kmin3_ext.txt,mcts_progressive_widening_sensitivity/results.csv
20684755,,,on,534933607,safe_pw_kmin3,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684755_pw-safe-drone-on-534933607-safe_pw_kmin3_ext.txt,mcts_progressive_widening_sensitivity/results.csv
20684975,,,off,1963100312,unaware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684975_horizon-drone-off-1963100312-unaware.txt,mcts_horizon_binding/results.csv
20684976,,,off,1963100312,aware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684976_horizon-drone-off-1963100312-aware.txt,mcts_horizon_binding/results.csv
20684977,,,off,2011206605,unaware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684977_horizon-drone-off-2011206605-unaware.txt,mcts_horizon_binding/results.csv
20684978,,,off,2011206605,aware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684978_horizon-drone-off-2011206605-aware.txt,mcts_horizon_binding/results.csv
20684979,,,off,1073581256,unaware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684979_horizon-drone-off-1073581256-unaware.txt,mcts_horizon_binding/results.csv
20684980,,,off,1073581256,aware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684980_horizon-drone-off-1073581256-aware.txt,mcts_horizon_binding/results.csv
20684981,,,off,1239739722,unaware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684981_horizon-drone-off-1239739722-unaware.txt,mcts_horizon_binding/results.csv
20684982,,,off,1239739722,aware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/horizon-drone-off-1239739722-aware_20684982.out,mcts_horizon_binding/results.csv
20684983,,,off,1472491096,unaware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/horizon-drone-off-1472491096-unaware_20684983.out,mcts_horizon_binding/results.csv
20684984,,,off,1472491096,aware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/horizon-drone-off-1472491096-aware_20684984.out,mcts_horizon_binding/results.csv
20684985,,,on,1963100312,unaware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/horizon-drone-on-1963100312-unaware_20684985.out,mcts_horizon_binding/results.csv
20684986,,,on,1963100312,aware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684986_horizon-drone-on-1963100312-aware.txt,mcts_horizon_binding/results.csv
20684987,,,on,2011206605,unaware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684987_horizon-drone-on-2011206605-unaware.txt,mcts_horizon_binding/results.csv
